position,shap_RIF_only,shap_ETH_only,shap_RIF_in_coresist,shap_ETH_in_coresist,shap_RIF_neither,shap_ETH_neither,delta_RIF,delta_ETH,max_abs_delta,gene
pos_761277,0.0036849015122546033,0.0034237364454845353,0.004863757442789715,0.0017708531935129955,0.004712086265240144,0.0015817429444293185,0.001178855930535112,-0.0016528832519715397,0.0016528832519715397,rpoB
pos_4247574,0.005123380584776408,0.013858759449614818,0.004605577486532883,0.01221373358661155,0.0021279406382320957,0.014233137229178244,-0.0005178030982435251,-0.0016450258630032674,0.0016450258630032674,embB
pos_2289213,0.001818580242014027,0.002629942900150014,0.0024191567203585436,0.004016414104831082,0.0029918168768113115,0.0017267411403437591,0.0006005764783445166,0.0013864712046810675,0.0013864712046810675,pncA
pos_2289090,0.0005861850134277187,0.0027479413561403263,0.0004573920525339806,0.0016977107922402108,0.0006186967490157022,0.00150207293278104,-0.00012879296089373808,-0.0010502305639001155,0.0010502305639001155,pncA
pos_4249408,0.0022430598894954807,0.003490265653914212,0.0020574612594131824,0.002520317036381627,0.0028479824499003377,0.001319268792855584,-0.00018559863008229833,-0.000969948617532585,0.000969948617532585,embB
pos_4247730,0.005009285437959301,0.02049866138470848,0.005197972037183403,0.021439080569803537,0.011228466173624998,0.021392650417838575,0.00018868659922410217,0.0009404191850950552,0.0009404191850950552,embB
pos_763123,0.0012059591178647628,0.0013386451089110513,0.0020471689262180925,0.0018170993347540107,0.0016471158553355114,0.001492666736437809,0.0008412098083533297,0.00047845422584295947,0.0008412098083533297,rpoB
pos_4240671,0.0033447853624752875,0.004373015072310929,0.0025214460524140246,0.004653616940965505,0.010913124624316416,0.013524060705894772,-0.0008233393100612629,0.00028060186865457633,0.0008233393100612629,embC
pos_1674782,0.0011499719261380563,0.0008841315928600312,0.0016328231022893413,0.0016930801325948522,0.001351170958654307,0.00039632679543355817,0.00048285117615128503,0.000808948539734821,0.000808948539734821,inhA
pos_4247729,0.0004319829129154277,0.004045436258220906,0.0006899682801794751,0.004848812388013334,0.00019892635287898695,0.0007605055557109909,0.0002579853672640474,0.0008033761297924283,0.0008033761297924283,embB
pos_2154724,0.006232780405422024,0.007001410229439805,0.005517966619359008,0.006548090752482855,0.015891361496109237,0.004733584634238378,-0.0007148137860630167,-0.00045331947695695027,0.0007148137860630167,katG
pos_1674263,0.0005143476819830424,0.0016267527663128645,0.0005849752009126336,0.0022806537867497106,0.0003014973691301795,0.0010840547060934427,7.062751892959122e-05,0.0006539010204368461,0.0006539010204368461,inhA
pos_4242075,0.0020272586965186462,0.0051347317809958565,0.0017160930303800417,0.005265208812657611,0.004856270720850167,0.0071814911958118215,-0.00031116566613860453,0.00013047703166175432,0.00031116566613860453,embC
pos_4247646,0.0016526633997775363,0.0032856499985651523,0.0013738668851204254,0.0032220008328752835,0.004973248707607073,0.008309230285645378,-0.000278796514657111,-6.364916568986877e-05,0.000278796514657111,embB
pos_1834177,0.005653623442288064,0.011030886893642951,0.005385458271154877,0.011134661611990155,0.007953341018309138,0.008066263977036484,-0.0002681651711331865,0.00010377471834720382,0.0002681651711331865,rpsA
pos_762434,0.001489722482382134,0.008044531538752476,0.0013043700235765285,0.008082297106748145,0.003513720554029546,0.011219931236092476,-0.00018535245880560544,3.776556799566996e-05,0.00018535245880560544,rpoB
