position,shap_RIF_only,shap_PZA_only,shap_RIF_in_coresist,shap_PZA_in_coresist,shap_RIF_neither,shap_PZA_neither,delta_RIF,delta_PZA,max_abs_delta,gene
pos_2289091,0.0027236621380448437,0.0038770043579451517,0.0059916508118085555,0.007919035320350301,0.003973484830043326,0.004599110014110525,0.003267988673763712,0.00404203096240515,0.00404203096240515,pncA
pos_4247469,0.00043272194048184784,0.0,0.0017449240489719959,0.0036378323726544174,0.00022851181042467052,9.988923718844168e-05,0.001312202108490148,0.0036378323726544174,0.0036378323726544174,embB
pos_4243346,0.0025701364473608955,0.0014288037026486966,0.003608511997547684,0.004893731946932542,0.0011671983225848518,0.0021222457823508807,0.0010383755501867883,0.0034649282442838457,0.0034649282442838457,embA
pos_4249583,0.0010889319444907773,0.001558955113347842,0.0017214565395440727,0.004877214695551446,0.001364518840100558,0.0021330039083141228,0.0006325245950532955,0.0033182595822036035,0.0033182595822036035,embB
pos_761109,0.006152877764424455,0.009275085882894442,0.005814285611518106,0.006246934878082469,0.003947313929058356,0.004599654385201682,-0.00033859215290634945,-0.0030281510048119735,0.0030281510048119735,rpoB
pos_1834177,0.005817645298864195,0.012102344927775966,0.005218889714969693,0.015038451249517444,0.008314265157002643,0.013050478683641592,-0.0005987555838945025,0.002936106321741478,0.002936106321741478,rpsA
pos_2289226,0.0028374102683380443,0.007545847471291554,0.002126835468723203,0.010408090132417606,0.00091460615007909,0.005993568681322671,-0.0007105747996148412,0.0028622426611260524,0.0028622426611260524,pncA
pos_1674481,0.0007161021942546993,0.001344897417098743,0.000873380935916985,0.0041095199719586245,0.0009154008805645255,0.00314054027468648,0.00015727874166228568,0.0027646225548598816,0.0027646225548598816,inhA
pos_761277,0.002938288629204592,0.0028087687274536612,0.00561470822038714,0.0045682913300275,0.004833906870938143,0.0024602378097169373,0.0026764195911825484,0.0017595226025738384,0.0026764195911825484,rpoB
pos_4242803,0.00351355880055723,0.012335688912824803,0.00356604630427799,0.009752460058480825,0.00742050485207947,0.012334452514563925,5.248750372076035e-05,-0.0025832288543439774,0.0025832288543439774,embC
pos_762434,0.0016586827876809169,0.009332976360113938,0.0011485568448198979,0.006956795294789843,0.0037266611655840075,0.010087790697891898,-0.000510125942861019,-0.0023761810653240957,0.0023761810653240957,rpoB
pos_4247574,0.005925062984520811,0.003534995161929036,0.003929029552177682,0.005893799584212915,0.00234484480745265,0.005284422234191774,-0.0019960334323431295,0.002358804422283879,0.002358804422283879,embB
pos_762089,0.002348074381216713,0.0016462550611810853,0.002438934670607424,0.003648401767146863,0.0008302225657294259,0.001027892746635897,9.086028939071095e-05,0.002002146705965778,0.002002146705965778,rpoB
pos_1674048,0.0008051811947402131,0.0014198884560426726,0.00058289139057594,0.0033785030036300964,0.0010447383286468466,0.001598750131765121,-0.00022228980416427312,0.0019586145475874238,0.0019586145475874238,fabG1
pos_2289047,0.002752298710043082,0.009139186458979874,0.00194736194189055,0.010865305243207722,0.006426152258917046,0.010241294775471997,-0.0008049367681525318,0.001726118784227848,0.001726118784227848,pncA
pos_1834683,6.784012845775565e-05,0.010134431347650871,0.000276372679053971,0.008520829301165725,6.990417260070275e-05,0.0020440210868794256,0.0002085325505962153,-0.001613602046485146,0.001613602046485146,rpsA
pos_2289090,0.0003440468448949716,0.011493322163538261,0.0006122494575144821,0.009888923319598675,0.000583508448262088,0.004339355707895891,0.00026820261261951045,-0.0016043988439395866,0.0016043988439395866,pncA
pos_763123,0.001212261750219271,0.002453505481246031,0.002188521617564893,0.003961000191532863,0.0016642155940428615,0.002966286137911002,0.0009762598673456219,0.0015074947102868318,0.0015074947102868318,rpoB
pos_4242182,0.0018029835036779333,0.004723960448604849,0.002079798185607641,0.005909300467523856,0.0013279433868972088,0.0023816172918134813,0.0002768146819297078,0.001185340018919007,0.001185340018919007,embC
pos_4242075,0.002242870012061318,0.007668585770491324,0.0015043081064296858,0.00758132277889956,0.005085441153928764,0.0077903228341900275,-0.0007385619056316324,-8.726299159176384e-05,0.0007385619056316324,embC
pos_4247729,0.0006232415744546854,0.0022716435937615532,0.0005947635371107591,0.001692338923098179,0.00022958723975037438,0.00029786588736017283,-2.8478037343926312e-05,-0.0005793046706633741,0.0005793046706633741,embB
pos_4243460,0.010455653262618868,0.010017797618141904,0.010499179236230312,0.009515183040926875,0.014640227209454883,0.007414009722243818,4.352597361144406e-05,-0.0005026145772150294,0.0005026145772150294,embA
pos_4249323,0.0015008469151152983,0.0025816593331979922,0.001734848144645162,0.002475301430658649,0.0019551219523239066,0.0017313377382030424,0.0002340012295298636,-0.00010635790253934324,0.0002340012295298636,embB
