position,shap_RIF_only,shap_INH_only,shap_RIF_in_coresist,shap_INH_in_coresist,shap_RIF_neither,shap_INH_neither,delta_RIF,delta_INH,max_abs_delta,gene
pos_4249323,0.0008147219224727804,0.0010429689410002619,0.0016667727301819207,0.0010748578531565413,0.002154074045795594,0.00202807202426292,0.0008520508077091404,3.188891215627943e-05,0.0008520508077091404,embB
pos_761277,0.0038455804181281674,0.0009357775088592403,0.004507651332642423,0.0001569361483330143,0.004817859076123519,0.0015696695706041133,0.0006620709145142554,-0.000778841360526226,0.000778841360526226,rpoB
pos_4247729,0.0,0.00011216072624283423,0.0006295613316511544,0.0008835310939953036,0.0001634270700831741,0.0002894450036201904,0.0006295613316511544,0.0007713703677524694,0.0007713703677524694,embB
pos_4249583,0.0007420050028213327,0.0005718813906718193,0.0014808817962119088,0.0008907764818068683,0.001176030844838434,0.0008761282101146771,0.0007388767933905761,0.00031889509113504897,0.0007388767933905761,embB
pos_761140,0.01621101887589326,0.002178687395345936,0.016459405535618733,0.0014913118892275201,0.014702113451021646,0.004318755738828019,0.0002483866597254719,-0.0006873755061184159,0.0006873755061184159,rpoB
pos_4242182,0.0018645490597204975,0.0012893969805026489,0.0019665090554406403,0.0019369105421315693,0.0015338357252535136,0.0020991650524915667,0.00010195999572014283,0.0006475135616289204,0.0006475135616289204,embC
pos_4247646,0.0012002752182356422,0.0011042502375112652,0.001473630584284633,0.0004843246820454836,0.005664307804974553,0.0021013975326560517,0.0002733553660489907,-0.0006199255554657816,0.0006199255554657816,embB
pos_2289047,0.002739195992639339,0.0016989204181123597,0.002270565816860033,0.0017349910473456716,0.005626845521947887,0.0035050806750831346,-0.00046863017577930587,3.6070629233311965e-05,0.00046863017577930587,pncA
pos_1834683,0.00012106336325220879,0.002330585749112194,0.00019077193031606296,0.0027255388197867584,5.7187753105239344e-05,0.0018220441958134454,6.970856706385417e-05,0.00039495307067456426,0.00039495307067456426,rpsA
pos_2289090,0.0002617464125898137,0.002141048576808899,0.0005078100815020711,0.0023757630828723747,0.000520472017923929,0.0022213984387447617,0.0002460636689122574,0.00023471450606347586,0.0002460636689122574,pncA
pos_2289213,0.0021739988899741693,0.0021762787782366147,0.002227473544262884,0.001984377742849349,0.0035292187972215615,0.004570083482162829,5.347465428871476e-05,-0.00019190103538726556,0.00019190103538726556,pncA
pos_4244220,0.0003536169639008444,0.00018279889239582184,0.00028770232573768154,9.38289637033386e-05,0.0025701602726434874,0.0005225250645316448,-6.591463816316286e-05,-8.896992869248323e-05,8.896992869248323e-05,embA
